Date,Value_Benchmark,Value_EqualWeight,Value_RebalanceStrategy
2024-08-29,53810.79680104087,67383.978796996,87424.46914503527
2024-08-30,54460.987196784416,68892.738854328,89659.00278113176
2024-08-31,52298.82953537573,67432.76197634215,85218.96658097478
2024-09-01,52298.82953537573,67432.76197634215,85218.96658097478
2024-09-02,52298.82953537573,67432.76197634215,85218.96658097478
2024-09-03,52298.82953537573,67432.76197634215,85218.96658097478
2024-09-04,52350.49799752672,67347.02699276812,86003.56949071627
2024-09-05,52501.81762405432,67622.76038512324,87846.33309598474
2024-09-06,50924.34778888119,66397.25798313362,83831.4851446287
2024-09-07,51594.30143462096,66662.25480623348,85433.63487979132
2024-09-08,51594.30143462096,66662.25480623348,85433.63487979132
2024-09-09,51594.30143462096,66662.25480623348,85433.63487979132
2024-09-10,51668.30582391587,67289.7555531456,87032.98612646462
2024-09-11,52644.0456945012,68492.43853973973,88912.11993008274
2024-09-12,53232.194201034705,69553.21487401327,89956.44344575217
2024-09-13,53575.23907339782,70205.79370710124,90084.88545471578
2024-09-14,53599.50293177717,70133.71807783938,89390.03447864886
2024-09-15,53599.50293177717,70133.71807783938,89390.03447864886
2024-09-16,53599.50293177717,70133.71807783938,89390.03447864886
2024-09-17,53725.10200253602,70448.52352618604,89562.213994232
2024-09-18,53592.86136679104,70534.36256238518,89228.41728809998
2024-09-19,54982.251790013506,71897.02625898788,92819.62233696315
2024-09-20,54835.033928691024,71793.94870650825,91599.68463567595
2024-09-21,55133.679250569316,71981.01566784666,93459.15332649398
2024-09-22,55133.679250569316,71981.01566784666,93459.15332649398
2024-09-23,55133.679250569316,71981.01566784666,93459.15332649398
2024-09-24,55784.84767763337,72849.80232355765,94970.40089627529
2024-09-25,55632.10909349046,73193.33512516104,95802.27028248769
2024-09-26,55996.65670962567,73703.85568467884,95453.24154339073
2024-09-27,56192.17926366332,73858.57592281673,96174.68837207722
2024-09-28,56023.90447568905,73751.7626948779,96357.1774313554
2024-09-29,56023.90447568905,73751.7626948779,96357.1774313554
2024-09-30,56023.90447568905,73751.7626948779,96357.1774313554
2024-10-01,55576.00238750538,73487.48007737844,94950.10002491891
2024-10-02,55313.69980036877,73610.85200342252,94805.99095942554
2024-10-03,55068.96287142619,74396.96300927385,94567.68635897194
2024-10-04,56221.49850171944,75276.59428170165,96392.9869456268
2024-10-05,55671.23441166214,75078.62520592514,95664.80641773596
2024-10-06,55671.23441166214,75078.62520592514,95664.80641773596
2024-10-07,55671.23441166214,75078.62520592514,95664.80641773596
2024-10-08,56075.43539325644,75832.3856299643,97136.89757760287
2024-10-09,56338.6424300526,75926.36363567192,96398.54309939539
2024-10-10,56454.07677427441,76524.6094105108,96600.28157759827
2024-10-11,56611.29168415203,75510.1902186009,93397.05115392197
2024-10-12,57404.73512012518,76093.03356672724,94295.37808534621
2024-10-13,57404.73512012518,76093.03356672724,94295.37808534621
2024-10-14,57404.73512012518,76093.03356672724,94295.37808534621
2024-10-15,56630.14884905215,75618.30550527578,93209.39361054737
2024-10-16,57303.84714001985,75693.65644697614,93818.02957878563
2024-10-17,57138.894676077616,75581.37839145339,93980.13816701151
2024-10-18,57420.072971486334,75558.23850314056,94171.97845890526
2024-10-19,57769.21582312313,76042.85430965843,95080.46670693718
2024-10-20,57769.21582312313,76042.85430965843,95080.46670693718
2024-10-21,57769.21582312313,76042.85430965843,95080.46670693718
2024-10-22,57855.174929873,75988.14656792233,94960.81707856667
2024-10-23,56940.805947584704,75916.65224995144,94836.11279724127
2024-10-24,58455.36337923953,77145.20782139932,101790.50067978595
2024-10-25,58759.28854548795,77732.41692730028,103103.93605595907
2024-10-26,58827.24911633557,77161.69255167835,102089.31629867024
2024-10-27,58827.24911633557,77161.69255167835,102089.31629867024
2024-10-28,58827.24911633557,77161.69255167835,102089.31629867024
2024-10-29,58536.47983502257,76984.67338556662,101648.97517408356
2024-10-30,58839.10335784805,77261.78258547088,101896.13862943207
2024-10-31,57714.5585424113,76971.70853362566,101138.88350595685
2024-11-01,58392.8075212157,77152.46452568097,101142.41871797199
2024-11-02,57791.59710856135,76717.79180463747,99488.72922376517
2024-11-03,57791.59710856135,76717.79180463747,99488.72922376517
2024-11-04,57791.59710856135,76717.79180463747,99488.72922376517
2024-11-05,58982.578560015405,78760.00605471915,101904.33825473514
2024-11-06,62403.510944938025,81166.14238729805,107802.9710967819
2024-11-07,63002.562613303926,82280.18346107834,111471.70696145369
2024-11-08,63995.733174388966,82791.2000737608,114368.3475721118
2024-11-09,65492.43395341646,84116.92686072187,119566.22349355581
2024-11-10,65492.43395341646,84116.92686072187,119566.22349355581
2024-11-11,65492.43395341646,84116.92686072187,119566.22349355581
2024-11-12,64707.80822277508,84480.84435844903,120538.39003377441
2024-11-13,64199.867003742744,83958.47316024036,120465.74557006935
2024-11-14,63222.06313218302,84229.58679181071,121894.8891648125
2024-11-15,63038.16048488026,84505.6595533615,121930.50970935705
2024-11-16,63526.824473809174,84326.35880458861,121323.34326199023
2024-11-17,63526.824473809174,84326.35880458861,121323.34326199023
2024-11-18,63526.824473809174,84326.35880458861,121323.34326199023
2024-11-19,64326.01214786987,83972.28200634151,120669.7231403255
2024-11-20,64394.61014572979,84390.90744854113,121785.00703916221
2024-11-21,64435.34683481096,84796.81979412763,123125.9066988184
2024-11-22,65053.16606874879,85187.35274415927,122655.38296502648
2024-11-23,65098.46369953848,86351.61946659144,124588.17127891736
2024-11-24,65098.46369953848,86351.61946659144,124588.17127891736
2024-11-25,65098.46369953848,86351.61946659144,124588.17127891736
2024-11-26,65195.75743998893,86872.21700307007,125882.72144223975
2024-11-27,65293.512786125444,86800.46814158672,126129.39489985889
2024-11-28,66177.73948735447,86315.59970795565,123873.46109141117
2024-11-29,66177.73948735447,86315.59970795565,123873.46109141117
2024-11-30,66330.37568364502,86422.58171876063,122970.04540587406
2024-12-01,66330.37568364502,86422.58171876063,122970.04540587406
2024-12-02,66330.37568364502,86422.58171876063,122970.04540587407
2024-12-03,66216.0671437278,86273.59345414129,122767.94185305327
2024-12-04,67235.87767667533,85553.62731367252,120548.83172083121
2024-12-05,66696.34461292003,85734.43840332095,120511.98474666647
2024-12-06,67169.24769268844,85749.50973767713,119895.8584328577
2024-12-07,66859.62525413527,85468.77248653113,119540.02683250584
2024-12-08,66859.62525413527,85468.77248653113,119540.02683250584
2024-12-09,66859.62525413527,85468.77248653113,119540.02683250584
2024-12-10,66978.83322774892,86320.86692340816,120648.87229451413
2024-12-11,68634.500133346,86670.98740675533,119017.52854114112
2024-12-12,67848.05257232429,86388.23533436739,120079.83852876244
2024-12-13,68158.33541524826,86783.33529445058,120681.75478441293
2024-12-14,69281.48028295812,86322.38405175564,119652.5889618467
2024-12-15,69281.48028295812,86322.38405175564,119652.5889618467
2024-12-16,69281.48028295812,86322.38405175564,119652.5889618467
2024-12-17,69083.59900214308,86589.55211272535,120565.37858704607
2024-12-18,66251.8391684245,86243.50473166078,122485.29968075384
2024-12-19,66234.63330296849,86178.67678668852,122148.34696673567
2024-12-20,66792.47115164404,86458.42505650147,123205.24478472365
2024-12-21,67722.97727422517,86820.69199781184,123249.27838751634
2024-12-22,67722.97727422517,86820.69199781184,123249.27838751634
2024-12-23,67722.97727422517,86820.69199781184,123249.27838751634
2024-12-24,69151.44798667623,86832.3758443034,122903.57063084652
2024-12-25,69239.18363211502,86436.95666929909,121840.63480193783
2024-12-26,69239.18363211502,86436.95666929909,121840.63480193783
2024-12-27,67836.4174186356,86465.14618306141,122339.98027681117
2024-12-28,66917.71838764963,86114.88526309346,122400.59076046773
2024-12-29,66917.71838764963,86114.88526309346,122400.59076046773
2024-12-30,66917.71838764963,86114.88526309346,122400.59076046773
2024-12-31,66161.79946080671,85725.04002273474,120514.6098581105
2025-01-01,64866.00846803493,85546.05204427335,120712.35594360202
2025-01-02,64866.00846803493,85546.05204427337,120712.35594360202
2025-01-03,66750.82104981254,85303.77674962902,119154.35015927197
2025-01-04,67612.1420762359,85091.10475702268,117955.11641575386
2025-01-05,67612.1420762359,85091.10475702268,117955.11641575386
2025-01-06,67612.1420762359,85091.10475702268,117955.11641575386
2025-01-07,66212.35607406254,85443.97435110982,118893.27713250373
2025-01-08,65986.53252466526,84794.30809029608,117898.36609257261
2025-01-09,64892.68188754776,84535.79435702592,118003.29082131202
2025-01-10,64892.68188754776,84535.79435702592,118003.29082131202
2025-01-11,65277.11840126829,85213.52046770805,118762.89778476262
2025-01-12,65277.11840126829,85213.52046770805,118762.89778476262
2025-01-13,65277.11840126829,85213.52046770805,118762.89778476262
2025-01-14,65327.98911795392,85852.60868642393,121418.77831709108
2025-01-15,67792.18471236399,86217.45805081895,120889.4109273966
2025-01-16,67189.50110544275,86498.00464843973,121904.02586456835
